productID,warehouse,date,stockonhand,stockreceived,stockdispatched
24557787,East April,2023-01-01,72,8,31
31453826,East Kathleenville,2023-01-01,363,5,30
53194769,East Cameronborough,2023-01-01,475,44,14
82030923,Watsonbury,2023-01-01,336,40,1
67236369,Christinastad,2023-01-01,487,8,30
75984274,New Kevinfurt,2023-01-01,210,6,37
53432529,East Samuelview,2023-01-01,475,12,43
91332946,South Daniel,2023-01-01,135,14,21
20484268,Lake Mollyberg,2023-01-01,148,31,2
16581755,Scottstad,2023-01-01,229,16,17
91688017,East Marc,2023-01-01,45,19,22
81636422,Lake Nicole,2023-01-01,219,44,34
80312516,Jeremiahburgh,2023-01-01,127,28,35
75422368,Boydbury,2023-01-01,393,12,32
36500494,Quinnland,2023-01-01,333,27,38
33377627,Barronchester,2023-01-01,217,42,17
53922823,East Stephenchester,2023-01-01,115,39,21
51344455,Ashleybury,2023-01-01,129,16,43
58018240,West Danielle,2023-01-01,121,22,33
77488853,Osborneburgh,2023-01-01,405,2,3
83322651,Port Donnaville,2023-01-01,235,28,30
87326934,South Joanstad,2023-01-01,85,32,26
69414990,Deanside,2023-01-01,196,28,30
74525472,North Lawrencefort,2023-01-01,20,23,42
51323896,Jonathanview,2023-01-01,253,4,29
16773513,Carlchester,2023-01-01,232,14,2
85293601,Barryfort,2023-01-01,306,25,38
90507882,New Annaside,2023-01-01,419,43,28
51920258,Port Russell,2023-01-01,149,17,45
32323104,Port Jacobville,2023-01-01,307,21,10
27857937,Colleenside,2023-01-01,296,8,7
64153292,East Carol,2023-01-01,25,26,13
18889704,New Corey,2023-01-01,79,9,20
22122462,East Royside,2023-01-01,207,37,45
23245733,New Michellemouth,2023-01-01,291,45,46
24968913,South Meghanland,2023-01-01,12,34,36
53008146,East Lori,2023-01-01,404,6,12
50364010,West Patricia,2023-01-01,359,22,21
54021411,Zavalaville,2023-01-01,430,34,25
67720690,West Ryan,2023-01-01,475,1,2
80030833,West Janiceside,2023-01-01,288,11,9
98422712,Lake Laceyview,2023-01-01,291,24,12
75255625,Christianmouth,2023-01-01,326,26,25
52937194,New Amandafurt,2023-01-01,436,7,36
79293087,Howellmouth,2023-01-01,431,4,20
21238967,Johnville,2023-01-01,418,11,29
53672255,Meyerport,2023-01-01,343,48,18
26062417,East Antoniomouth,2023-01-01,201,2,46
20209145,South Melissaburgh,2023-01-01,408,44,14
66895386,Port Angelaberg,2023-01-01,310,2,22
52346226,Ashleyside,2023-01-01,10,3,42
43018594,Andersontown,2023-01-01,99,40,18
44854072,Lake Michael,2023-01-01,302,15,21
93979875,Carlsonchester,2023-01-01,58,5,8
64586756,North Jessicaburgh,2023-01-01,254,26,39
83251846,Port Glennland,2023-01-01,453,7,36
75193170,Port Erikmouth,2023-01-01,136,31,47
36503298,Esparzafurt,2023-01-01,393,27,37
47128867,South Jennifer,2023-01-01,311,37,15
99173625,Lake Edward,2023-01-01,193,5,4
27177924,Douglasmouth,2023-01-01,380,39,22
23042655,Beckville,2023-01-01,280,18,5
17363217,New Aaronport,2023-01-01,151,4,27
52110432,North Christopher,2023-01-01,499,39,38
56183206,New Jennifer,2023-01-01,433,6,36
23648198,South Gene,2023-01-01,433,10,9
81342100,New Monicaland,2023-01-01,247,15,42
46971431,Blackwellbury,2023-01-01,324,23,25
20443517,Courtneyville,2023-01-01,459,36,35
74146526,Lake Kim,2023-01-01,347,28,43
60164332,Romanfurt,2023-01-01,170,14,17
44826668,Lake John,2023-01-01,453,41,22
98414013,Kaitlynview,2023-01-01,371,6,9
61522316,North Kellyburgh,2023-01-01,477,41,8
41320852,Rothview,2023-01-01,35,15,40
84004718,Andrewbury,2023-01-01,61,30,30
