Sales_ID,Date,Product_Name,Quantity_Sold,Sales_Amount
1000,2023-12-28,reflect Cereal,1,24
1001,2023-09-25,guess Turquoise Cream,6,1050
1002,2023-11-01,it Cereal,8,1208
1003,2023-03-05,may Dairy,5,385
1004,2023-12-12,idea Pet remain,4,332
1006,2023-03-20,either Frozen plan,1,160
1008,2023-12-03,drug Snack,9,99
1010,2023-11-04,available PaleVioletRed Cream,6,636
1011,2023-04-20,position Bakery Item,6,666
1012,2023-11-24,WhiteSmoke baby Drink,2,256
1013,2023-02-15,similar Candy,4,556
1014,2023-11-28,DodgerBlue not Drink,8,944
1015,2023-07-23,cost Cereal,10,1880
1016,2023-05-30,bit Snack,3,567
1017,2023-08-04,reality Dairy,8,1104
1018,2023-08-06,staff Candy,1,19
1019,2023-02-02,suggest Pet production,3,537
1020,2023-08-29,through Snack,1,102
1021,2023-08-15,few Bakery Item,2,116
1022,2023-12-07,DarkGoldenRod your Drink,1,54
1023,2023-12-07,act LawnGreen Cream,7,1162
1025,2023-07-27,LightPink find Cleaner,3,303
1027,2023-10-05,Silver old Drink,1,10
1029,2023-04-29,DarkGoldenRod wish Drink,1,151
1031,2023-01-24,DodgerBlue not Drink,8,1192
1035,2023-09-08,word Pet often,5,335
1036,2023-02-24,design Bakery Item,7,973
1037,2023-04-18,get Dairy,5,375
1038,2023-02-15,DarkSalmon system Drink,1,38
1040,2023-04-07,score Frozen simple,10,1710
1041,2023-08-18,DarkRed project Cleaner,6,192
1042,2023-04-12,GoldenRod during Cleaner,9,1251
1043,2023-12-26,although Pet husband,4,124
1044,2023-04-09,security Pet police,5,980
1045,2023-07-29,set LawnGreen Cream,10,170
1046,2023-10-29,star Cereal,2,346
1047,2023-12-05,if Pet owner,9,450
1048,2023-11-25,available PaleVioletRed Cream,8,1008
1050,2023-10-24,interview Frozen add,7,378
1052,2023-04-09,good Frozen tax,7,161
1053,2023-11-27,measure DarkViolet Cream,2,110
1055,2023-01-09,civil Candy,2,302
1056,2023-10-24,this Snack,10,430
1057,2023-09-24,time Candy,6,204
1058,2023-02-07,LightGray yard Drink,4,732
1059,2023-03-21,LightCyan share Drink,9,1647
1060,2023-04-10,star Pet sometimes,3,87
1061,2023-07-14,change Cereal,7,490
1062,2023-07-04,positive Cereal,9,234
1063,2023-06-25,fast DarkOliveGreen Cream,6,378
1065,2023-08-06,across Cereal,5,585
1066,2023-10-25,LightCoral young Drink,6,378
1067,2023-06-12,LightCyan share Drink,3,345
1068,2023-06-23,time Candy,7,777
1071,2023-05-20,few Bakery Item,3,417
1072,2023-05-04,image LightSkyBlue Cream,10,630
1073,2023-01-08,big Candy,7,525
1075,2023-01-17,poor MediumTurquoise Cream,6,726
1076,2023-01-22,increase Bakery Item,8,672
1077,2023-09-01,worry Candy,1,151
1078,2023-10-03,Magenta share Cleaner,10,720
1079,2023-10-03,which LimeGreen Cream,5,65
1080,2023-04-13,her Cereal,5,880
1081,2023-07-24,trip Dairy,5,150
1082,2023-11-14,expect Candy,3,195
1083,2023-02-23,director Frozen site,7,469
1087,2023-02-18,like Frozen wear,5,155
1088,2023-06-22,available PaleVioletRed Cream,4,316
